"NSE_SYMBOL","NSE_COMPANY"
"3PLAND","3P Land Holdings Limited"
"AAKASH","Aakash Exploration Services Limited"
"AARON","Aaron Industries Limited"
"AARVI","Aarvi Encon Limited"
"ABMINTLLTD","ABM International Limited"
"ACEINTEG","Ace Integrated Solutions Limited"
"ADL","Archidply Decor Limited"
"AGROPHOS","Agro Phos India Limited"
"AHLADA","Ahlada Engineers Limited"
"AIROLAM","Airo Lam limited"
"AJOONI","Ajooni Biotech Limited"
"AKASH","Akash Infra-Projects Limited"
"AKG","Akg Exim Limited"
"ANSALAPI","Ansal Properties & Infrastructure Limited"
"ANTGRAPHIC","Antarctica Limited"
"APCL","Anjani Portland Cement Limited"
"APOLSINHOT","Apollo Sindoori Hotels Limited"
"AROGRANITE","Aro Granite Industries Limited"
"ARTNIRMAN","Art Nirman Limited"
"ARVEE","Arvee Laboratories (India) Limited"
"ASPINWALL","Aspinwall and Company Limited"
"AURIGROW","Auri Grow India Limited"
"AYMSYNTEX","AYM Syntex Limited"
"BALAXI","BALAXI PHARMACEUTICALS LIMITED"
"BANKA","Banka BioLoo Limited"
"BEARDSELL","Beardsell Limited"
"BETA","Beta Drugs Limited"
"BLUECOAST","Blue Coast Hotels Limited"
"BOHRAIND","Bohra Industries Limited"
"BSE","BSE Limited"
"BSHSL","Bombay Super Hybrid Seeds Limited"
"CDSL","Central Depository Services (India) Limited"
"CLCIND","CLC Industries Limited"
"CONSOFINVT","Consolidated Finvest & Holdings Limited"
"CREST","Crest Ventures Limited"
"CROWN","Crown Lifters Limited"
"CURAA","Cura Technologies Limited"
"DANGEE","Dangee Dums Limited"
"DGCONTENT","Digicontent Limited"
"DPSCLTD","DPSC Limited"
"E2E","E2E Networks Limited"
"EIFFL","Euro India Fresh Foods Limited"
"ELGIRUBCO","Elgi Rubber Company Limited"
"FOCUS","Focus Lighting and Fixtures Limited"
"GANGAFORGE","Ganga Forging Limited"
"GEEKAYWIRE","Geekay Wires Limited"
"GICL","Globe International Carriers Limited"
"GKWLIMITED","GKW Limited"
"GLFL","Gujarat Lease Financing Limited"
"GLOBAL","Global Education Limited"
"GLOBE","GLOBE ENTERPRISES (INDIA) LIMITED"
"GRADIENTE","Gradiente Infotainment Limited"
"GROBTEA","The Grob Tea Company Limited"
"GTECJAINX","G-TEC JAINX EDUCATION LIMITED"
"GVPTECH","GVP Infotech Limited"
"HECPROJECT","HEC Infra Projects Limited"
"HINDCON","Hindcon Chemicals Limited"
"HISARMETAL","Hisar Metal Industries Limited"
"HPIL","Hindprakash Industries Limited"
"ICDSLTD","ICDS Limited"
"ICEMAKE","Ice Make Refrigeration Limited"
"IRISDOREME","Iris Clothings Limited"
"JAIPURKURT","Nandani Creation Limited"
"JARO","Jaro Institute of Technology Management and Research Limited"
"JMA","Jullundur Motor Agency (Delhi) Limited"
"JOCIL","Jocil Limited"
"KALYANI","Kalyani Commercials Limited"
"KAPSTON","Kapston Services Limited"
"KAYNES","Kaynes Technology India Limited"
"KCP","KCP Limited"
"KNAGRI","KN Agri Resources Limited"
"KOTARISUG","Kothari Sugars And Chemicals Limited"
"KOTHARIPET","Kothari Petrochemicals Limited"
"KRISHANA","Krishana Phoschem Limited"
"KRISHNADEF","Krishna Defence And Allied Industries Limited"
"KRITIKA","Kritika Wires Limited"
"KSHITIJPOL","Kshitij Polyline Limited"
"LAGNAM","Lagnam Spintex Limited"
"LATTEYS","Latteys Industries Limited"
"LAXMICOT","Laxmi Cotspin Limited"
"LCCINFOTEC","LCC Infotech Limited"
"LEMERITE","Le Merite Exports Limited"
"LEXUS","Lexus Granito (India) Limited"
"LFIC","Lakshmi Finance & Industrial Corporation Limited"
"LGHL","Laxmi Goldorna House Limited"
"LIBAS","Libas Consumer Products Limited"
"LTTS","L&T Technology Services Limited"
"MACPOWER","Macpower CNC Machines Limited"
"MAHESHWARI","Maheshwari Logistics Limited"
"MALUPAPER","Malu Paper Mills Limited"
"MARALOVER","Maral Overseas Limited"
"MARINE","Marine Electricals (India) Limited"
"MASKINVEST","Mask Investments Limited"
"MBAPL","Madhya Bharat Agro Products Limited"
"MCL","Madhav Copper Limited"
"MITCON","MITCON Consultancy & Engineering Services Limited"
"MITTAL","Mittal Life Style Limited"
"MMP","MMP Industries Limited"
"MODIRUBBER","Modi Rubber Limited"
"MODTHREAD","Modern Threads (India) Limited"
