"TckrSymb","FinInstrmNm"
"ABB","ABB INDIA LIMITED"
"AEGISLOG","AEGIS LOGISTICS LTD."
"ARE&M","Amara Raja Energy & Mobility L"
"AMBALALSA","AMBALAL SARABHAI ENTERPRISES L"
"ANDHRAPET","ANDHRA PETROCHEMICALS LTD."
"UTIQUE","UTIQUE ENTERPRISES LIMITED"
"ARUNAHTEL","ARUNA HOTELS LTD."
"BOMDYEING","BOMBAY DYEING & MFG.CO.LTD."
"ASIANHOTNR","ASIAN HOTELS (NORTH) LIMITED"
"ATUL","ATUL LTD."
"ATVPR","ATV PROJECTS INDIA LTD."
"BAJAJELEC","BAJAJ ELECTRICALS LTD."
"BAJAJHIND","BAJAJ HINDUSTHAN SUGAR LIMITED"
"FORCEMOT","FORCE MOTORS LTD."
"BAJFINANCE","BAJAJ FINANCE LIMITED"
"BALRAMCHIN","BALRAMPUR CHINI MILLS LTD."
"BANCOINDIA","BANCO PRODUCTS (INDIA) LTD."
"ABREL","ADITYA BIRLA REAL ESTATE LIMIT"
"BANARISUG","BANNARI AMMAN SUGARS LTD."
"BASF","BASF INDIA LTD."
"BATAINDIA","BATA INDIA LTD."
"BEML","BEML LTD."
"BEL","BHARAT ELECTRONICS LTD."
"BHAGGAS","BHAGAWATI GAS LIMITED"
"BEPL","BHANSALI ENGINEERING POLYMERS"
"BIHSPONG","BIHAR SPONGE IRON LTD."
"BILVYAPAR","BIL VYAPAR LIMITED"
"BIRLACABLE","Birla Cable Limited"
"BLUESTARCO","BLUE STAR LTD."
"DISAQ","DISA INDIA LTD."
"QUESTCAP","QUEST CAPITAL MARKETS LIMITED"
"BPL","BPL LTD."
"OAL","ORIENTAL AROMATICS LIMITED"
"CENTEXT","CENTURY EXTRUSIONS LTD."
"CESC","CESC LTD."
"CHAMBLFERT","CHAMBAL FERTILISERS & CHEMICAL"
"EXIDEIND","EXIDE INDUSTRIES LTD."
"CIPLA","CIPLA LTD."
"DICIND","DIC INDIA LTD."
"CRISIL","CRISIL LTD."
"CGPOWER","CG Power and Industrial Soluti"
"DABUR","DABUR INDIA LTD."
"DALMIASUG","DALMIA BHARAT SUGAR AND INDUST"
"ARVIND","ARVIND LTD."
"BHEL","BHARAT HEAVY ELECTRICALS LTD."
"HINDPETRO","HINDUSTAN PETROLEUM CORPORATIO"
"IFCI","IFCI LTD."
"MTNL","MAHANAGAR TELEPHONE NIGAM LTD."
"MRPL","MANGALORE REFINERY & PETROCHEM"
"CHENNPETRO","CHENNAI PETROLEUM CORPORATION"
