symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
BIOCON,Biocon Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
CIPLA,Cipla Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
FORTIS,Fortis Healthcare Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
IPCALAB,Ipca Laboratories Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
LUPIN,Lupin Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
SYNGENE,Syngene International Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY HEALTHCARE INDEX,nifty_healthcare_index,HEALTHCARE,2026-06-30
