symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
BANKBARODA,Bank of Baroda,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
CANBK,Canara Bank,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
FEDERALBNK,Federal Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
HDFCBANK,HDFC Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
ICICIBANK,ICICI Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
PNB,Punjab National Bank,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
SBIN,State Bank of India,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
UNIONBANK,Union Bank of India,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
YESBANK,Yes Bank Ltd.,Financial Services,NIFTY BANK,nifty_bank,BANKING,2026-06-30
