symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
BIOCON,Biocon Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
CIPLA,Cipla Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
GLAND,Gland Pharma Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
IPCALAB,Ipca Laboratories Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
LUPIN,Lupin Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
WOCKPHARMA,Wockhardt Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY PHARMA,nifty_pharma,PHARMA,2026-06-30
